"","THETA_of_Seurat","THETA_of_cc_gene_test","THETA_of_GO0007049","THETA_of_cyclebase3.0"
"hela1_SC251",2.77917610498099,2.98266698448352,1.31506587031308,2.60748500646395
"hela1_SC252",2.84163960152617,2.82062393740441,2.40553828853653,-3.03523248863028
"hela1_SC253",-2.10125172089083,-1.98698551951258,0.777292550298043,-1.9814265603755
"hela1_SC254",-1.32942628037797,-1.47484324211766,-2.23794080651873,-1.34066829473734
"hela1_SC255",2.87722170484956,2.95040869986693,1.13813056489456,2.75551498833079
"hela1_SC256",3.02997988709284,-3.10311529830918,3.07584701103894,-2.83163461645422
"hela1_SC257",-0.998059150566754,-0.921880508703361,0.890104808112098,-0.716867110428011
"hela1_SC258",-0.107637098999517,-0.0475429540331211,-2.49377920494659,-0.256422013533809
"hela1_SC259",-0.494417990604659,-0.376413209699064,0.407763856756083,-0.15486120522923
"hela1_SC261",2.76872370949605,2.63439583916228,0.561976750034271,1.72281423211653
"hela1_SC262",2.21607701917515,2.18379700082418,2.46598631469499,2.36839071896072
"hela1_SC263",2.8216703537795,2.86972741020579,0.770424559754435,2.03864294192779
"hela1_SC264",-2.97039235238469,-3.01352399468418,2.16375689764563,-2.93019083606638
"hela1_SC265",2.9496999251051,2.94388813770276,-1.99602651310926,-3.05934796662037
"hela1_SC267",-2.11470351191484,-1.87664169548629,0.662473636541152,-1.99251110999723
"hela1_SC268",-2.79056739445588,-2.8275324834787,2.44256205791026,-2.82141100123909
"hela1_SC269",3.04916503566063,3.10886472993291,1.3673243573281,2.89696060995557
"hela1_SC270",2.55094751009085,2.47326456463734,-2.85251190801239,2.41538762856705
"hela1_SC271",-1.96958676654223,-2.07161589638897,2.73557708045733,-1.83895436572458
"hela1_SC272",-2.76692626092121,-2.91901708479775,-3.038465191341,3.13471734440753
"hela1_SC273",2.63031888390659,2.73700216329956,0.672805876859623,2.12900783947985
"hela1_SC274",-0.493489337708855,-0.446530465395156,-2.79723413251597,-0.458484141586273
"hela1_SC275",-1.03066748164779,-1.044589393197,1.25287291464734,-0.687891732397482
"hela1_SC276",-2.64792503290248,-2.75415665239044,2.11396479789142,-2.43939540670302
"hela1_SC277",-3.0828991396826,-3.08000424795113,0.134153200282388,2.82990458880221
"hela1_SC278",2.83705667657036,2.8576022017912,-2.03979077492249,2.50061609054171
"hela1_SC279",0.410294628434255,0.436695809173687,-0.770846703666627,0.658275289412296
"hela1_SC280",-0.450420990353971,-0.456425213212506,-1.48567846879578,-0.552703486272775
"hela1_SC281",-2.88812755292514,-2.90783740474159,1.83570235876229,-2.90020269944153
"hela1_SC282",-2.99062934836382,-3.13375951749315,2.77278130544561,-2.95817792665969
"hela1_SC283",-3.09762466841939,-3.02906109074925,1.14142799420404,-3.01683427572443
"hela1_SC284",-3.02213559981489,-2.93240463385855,2.73640282081315,-2.59173169820953
"hela1_SC285",1.3853161758707,1.3988162984918,0.216574661500242,1.31932568322151
"hela1_SC286",2.99240284318186,2.98771284393542,2.86203094344051,-2.92912956713142
"hela1_SC287",-2.05717599182812,-2.15066992635731,1.11395359959531,-2.23245606537209
"hela1_SC288",-0.152085776189796,-0.131062620454307,0.478250465250767,0.116899404692614
